src_port,dst_port,proto,duration,src_bytes,dst_bytes,src_pkts,dst_pkts,state,label
41161,23,tcp,-,-,-,1,0,S0,Benign
37871,23,tcp,-,-,-,1,0,S0,Benign
10803,23,tcp,-,-,-,1,0,S0,Benign
24104,23,tcp,-,-,-,1,0,S0,Benign
10803,23,tcp,-,-,-,1,0,S0,Benign
50708,23,tcp,-,-,-,1,0,S0,Benign
10803,23,tcp,-,-,-,1,0,S0,Benign
10914,23,tcp,-,-,-,1,0,S0,Benign
10914,23,tcp,-,-,-,1,0,S0,Benign
24104,23,tcp,-,-,-,1,0,S0,Benign
55288,23,tcp,-,-,-,1,0,S0,Benign
13486,23,tcp,-,-,-,1,0,S0,Benign
32751,23,tcp,-,-,-,1,0,S0,Benign
28704,23,tcp,-,-,-,1,0,S0,Benign
55288,23,tcp,-,-,-,1,0,S0,Benign
28704,23,tcp,-,-,-,1,0,S0,Benign
10914,23,tcp,-,-,-,1,0,S0,Benign
55288,23,tcp,-,-,-,1,0,S0,Benign
13486,23,tcp,-,-,-,1,0,S0,Benign
123,123,udp,0.021990,48,48,1,1,SF,Benign
37871,23,tcp,-,-,-,1,0,S0,Benign
52458,23,tcp,-,-,-,1,0,S0,Benign
52989,23,tcp,-,-,-,1,0,S0,Benign
13486,23,tcp,-,-,-,1,0,S0,Benign
28704,23,tcp,-,-,-,1,0,S0,Benign
123,123,udp,0.068707,48,48,1,1,SF,Benign
123,123,udp,0.001745,48,48,1,1,SF,Benign
24104,23,tcp,-,-,-,1,0,S0,Benign
25542,23,tcp,-,-,-,1,0,S0,Benign
10914,23,tcp,-,-,-,1,0,S0,Benign
36922,23,tcp,-,-,-,1,0,S0,Benign
10914,23,tcp,-,-,-,1,0,S0,Benign
37871,23,tcp,-,-,-,1,0,S0,Benign
10914,23,tcp,-,-,-,1,0,S0,Benign
123,123,udp,-,-,-,1,0,S0,Benign
52458,23,tcp,-,-,-,1,0,S0,Benign
25542,23,tcp,-,-,-,1,0,S0,Benign
54580,23,tcp,-,-,-,1,0,S0,Benign
25542,23,tcp,-,-,-,1,0,S0,Benign
123,123,udp,-,-,-,1,0,S0,Benign
10914,23,tcp,-,-,-,1,0,S0,Benign
37871,23,tcp,-,-,-,1,0,S0,Benign
54580,23,tcp,-,-,-,1,0,S0,Benign
50708,23,tcp,-,-,-,1,0,S0,Benign
10914,23,tcp,-,-,-,1,0,S0,Benign
37871,23,tcp,-,-,-,1,0,S0,Benign
41161,23,tcp,-,-,-,1,0,S0,Benign
52458,23,tcp,-,-,-,1,0,S0,Benign
37871,23,tcp,-,-,-,1,0,S0,Benign
123,123,udp,0.093456,48,48,1,1,SF,Benign
54580,23,tcp,-,-,-,1,0,S0,Benign
54580,23,tcp,-,-,-,1,0,S0,Benign
55288,23,tcp,-,-,-,1,0,S0,Benign
54331,53,udp,5.001893,78,0,2,0,S0,Benign
36922,23,tcp,-,-,-,1,0,S0,Benign
50708,23,tcp,-,-,-,1,0,S0,Benign
32751,23,tcp,-,-,-,1,0,S0,Benign
32751,23,tcp,-,-,-,1,0,S0,Benign
52458,23,tcp,-,-,-,1,0,S0,Benign
29360,23,tcp,-,-,-,1,0,S0,Benign
52989,23,tcp,-,-,-,1,0,S0,Benign
123,123,udp,-,-,-,1,0,S0,Benign
25542,23,tcp,-,-,-,1,0,S0,Benign
13486,23,tcp,-,-,-,1,0,S0,Benign
29360,23,tcp,-,-,-,1,0,S0,Benign
54580,23,tcp,-,-,-,1,0,S0,Benign
28704,23,tcp,-,-,-,1,0,S0,Benign
52458,23,tcp,-,-,-,1,0,S0,Benign
41161,23,tcp,-,-,-,1,0,S0,Benign
54580,23,tcp,-,-,-,1,0,S0,Benign
41161,23,tcp,-,-,-,1,0,S0,Benign
24104,23,tcp,-,-,-,1,0,S0,Benign
24104,23,tcp,-,-,-,1,0,S0,Benign
24104,23,tcp,-,-,-,1,0,S0,Benign
25542,23,tcp,-,-,-,1,0,S0,Benign
52458,23,tcp,-,-,-,1,0,S0,Benign
52989,23,tcp,-,-,-,1,0,S0,Benign
24104,23,tcp,-,-,-,1,0,S0,Benign
52989,23,tcp,-,-,-,1,0,S0,Benign
36922,23,tcp,-,-,-,1,0,S0,Benign
36922,23,tcp,-,-,-,1,0,S0,Benign
24104,23,tcp,-,-,-,1,0,S0,Benign
28704,23,tcp,-,-,-,1,0,S0,Benign
41161,23,tcp,-,-,-,1,0,S0,Benign
36922,23,tcp,-,-,-,1,0,S0,Benign
25542,23,tcp,-,-,-,1,0,S0,Benign
54580,23,tcp,-,-,-,1,0,S0,Benign
24104,23,tcp,-,-,-,1,0,S0,Benign
55288,23,tcp,-,-,-,1,0,S0,Benign
13486,23,tcp,-,-,-,1,0,S0,Benign
54580,23,tcp,-,-,-,1,0,S0,Benign
52989,23,tcp,-,-,-,1,0,S0,Benign
123,123,udp,0.004746,48,48,1,1,SF,Benign
41161,23,tcp,-,-,-,1,0,S0,Benign
37871,23,tcp,-,-,-,1,0,S0,Benign
41161,23,tcp,-,-,-,1,0,S0,Benign
32751,23,tcp,-,-,-,1,0,S0,Benign
28704,23,tcp,-,-,-,1,0,S0,Benign
25542,23,tcp,-,-,-,1,0,S0,Benign
41161,23,tcp,-,-,-,1,0,S0,Benign
10803,23,tcp,-,-,-,1,0,S0,Benign
