iter	Passed	Remaining
0	70	70590
1	78	39049
2	86	28705
3	94	23434
4	101	20244
5	109	18115
6	116	16510
7	123	15292
8	130	14350
9	136	13560
10	143	12919
11	150	12414
12	157	11977
13	164	11620
14	171	11249
15	178	10961
16	184	10676
17	192	10505
18	199	10295
19	206	10106
20	213	9955
21	222	9899
22	229	9748
23	236	9615
24	243	9497
25	250	9374
26	256	9259
27	263	9151
28	271	9095
29	278	8989
30	284	8894
31	290	8799
32	297	8708
33	303	8618
34	309	8540
35	316	8466
36	322	8389
37	328	8319
38	334	8249
39	341	8186
40	347	8127
41	353	8069
42	360	8027
43	366	7971
44	374	7939
45	380	7888
46	386	7842
47	393	7795
48	399	7755
49	405	7711
50	412	7670
51	418	7627
52	424	7586
53	431	7552
54	437	7521
55	444	7498
56	451	7465
57	457	7436
58	464	7404
59	470	7374
60	477	7346
61	484	7324
62	490	7299
63	497	7277
64	503	7248
65	510	7224
66	516	7195
67	523	7168
68	529	7142
69	536	7122
70	542	7100
71	549	7082
72	556	7062
73	563	7051
74	571	7050
75	578	7038
76	585	7019
77	592	7008
78	599	6990
79	607	6983
80	613	6964
81	621	6954
82	627	6930
83	633	6910
84	641	6907
85	655	6964
86	665	6981
87	674	6985
88	683	6998
89	693	7011
90	702	7013
91	708	6992
92	714	6964
93	720	6942
94	725	6913
95	732	6893
96	738	6875
97	744	6850
98	750	6831
99	756	6807
100	762	6790
101	769	6771
102	776	6764
103	781	6735
104	788	6717
105	793	6694
106	798	6663
107	804	6645
108	810	6627
109	817	6613
110	822	6588
111	828	6569
112	832	6535
113	838	6520
114	844	6496
115	848	6465
116	854	6446
117	860	6432
118	866	6412
119	872	6399
120	877	6377
121	884	6362
122	890	6346
123	895	6326
124	900	6302
125	906	6288
126	911	6268
127	918	6258
128	924	6239
129	929	6220
130	934	6196
131	940	6181
132	945	6165
133	952	6155
134	957	6132
135	962	6116
136	969	6109
137	974	6088
138	981	6077
139	986	6062
140	994	6057
141	1001	6050
142	1006	6031
143	1012	6015
144	1016	5996
145	1022	5980
146	1028	5966
147	1033	5947
148	1038	5932
149	1044	5917
150	1050	5905
151	1055	5890
152	1059	5866
153	1066	5857
154	1071	5840
155	1076	5821
156	1080	5801
157	1085	5782
158	1090	5765
159	1095	5751
160	1100	5735
161	1105	5719
162	1110	5703
163	1115	5688
164	1121	5674
